cb_code;Type;Attribut;Valeur N-1;Valeur N
34136098;Modification;cb_lgreel;782.1873;1019.988
4620323;Modification;cb_lgreel;337.243;338.3077
4907153;Modification;cb_lgreel;494.9139;493.473
4907155;Modification;cb_lgreel;589.5148;584.4626
17293474;Modification;cb_lgreel;545.111;624.2926
33186027;Modification;cb_lgreel;480.7953;479.5682
18587890;Modification;cb_lgreel;15.5538;17.0218
34070821;Modification;cb_lgreel;1207.9679;1188.8017
36651321;Modification;cb_lgreel;977.013;897.134
8847682;Modification;cb_lgreel;697.334;606.259
11108697;Modification;cb_lgreel;213.8454;199.705
16712037;Modification;cb_lgreel;892.2103;887.7639
16712034;Modification;cb_lgreel;1253.5511;938.0542
16712036;Modification;cb_lgreel;901.5564;899.1117
4596072;Modification;cb_lgreel;227.7374;207.7726
4612493;Modification;cb_lgreel;777.222;775.9669
4612492;Modification;cb_lgreel;1082.4605;1081.41
30925219;Modification;cb_lgreel;1317.3814;1305.6921
4604334;Modification;cb_lgreel;421.1517;410.6642
6775267;Modification;cb_lgreel;1263.4848;1155.0916
4604393;Modification;cb_lgreel;51.4962;26.9637
4604418;Modification;cb_lgreel;719.8469;209.0794
4604424;Modification;cb_lgreel;866.2492;864.6362
25240100;Modification;cb_lgreel;1076.0263;1077.452
25240101;Modification;cb_lgreel;1235.7353;1003.0552
25240103;Modification;cb_lgreel;814.7265;811.3721
25240105;Modification;cb_lgreel;931.6849;977.0729
25240102;Modification;cb_lgreel;976.6861;794.7591
25240104;Modification;cb_lgreel;923.1874;847.4892
4612710;Modification;cb_lgreel;69.79;75.5252
34357860;Modification;cb_lgreel;1228.8391;1161.5181
23569058;Modification;cb_lgreel;1919.839;1933.9675
23569062;Modification;cb_lgreel;1209.209;1208.0117
23569060;Modification;cb_lgreel;948.5201;957.8895
21766833;Modification;cb_lgreel;816.4377;831.4169
4604602;Modification;cb_lgreel;543.5292;535.4127
4604643;Modification;cb_lgreel;1204.0243;1192.5991
4637460;Modification;cb_lgreel;20.2724;21.5362
15246116;Modification;cb_lgreel;206.0389;211.6173
30868258;Modification;cb_lgreel;1068.9259;1067.7514
15246117;Modification;cb_lgreel;672.749;689.092
4612903;Modification;cb_lgreel;428.2343;429.2553
22512427;Modification;cb_lgreel;797.8212;855.4248
22512428;Modification;cb_lgreel;1345.8111;1280.6008
4596535;Modification;cb_lgreel;65.2469;66.2862
4596536;Modification;cb_lgreel;198.3894;199.4285
4604730;Modification;cb_lgreel;1072.2127;1077.0555
17810274;Modification;cb_lgreel;1229.7611;1220.4215
17810275;Modification;cb_lgreel;1059.3556;1024.5448
17810273;Modification;cb_lgreel;1093.3482;1066.1386
17810276;Modification;cb_lgreel;966.855;847.4118
10797927;Modification;cb_lgreel;108.0017;79.7537
21349234;Modification;cb_lgreel;1199.3848;976.7769
